l0,l1,l2,l3,project_name,program_name,program_address,twitter,
DeFi,DEX,AMM,CLMM,Orca,Whirlpool,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,https://twitter.com/orca_so,
DeFi,DEX,AMM,,Orca,Orca Swap V2,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,https://twitter.com/orca_so,
DeFi,DEX,AMM,,Orca,Orca Swap,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,https://twitter.com/orca_so,
DeFi,Staking,Farm Staking,,Orca,Orca Aqua Farm,82yxjeMsvaURa4MbZZ7WZZHfobirZYkH1zF8fmeGtyaQ,https://twitter.com/orca_so,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V6,JUP6LkbZbjS1jKKwapdHNy74zcZ3tLUZoi5QNyVTaV4,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V5.2,JUP5cHjnnCx2DppVsufsLrXs8EBZeEZzGtEK9Gdz6ow,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V5.1,JUP5pEAZeHdHrLxh5UCwAbpjGwYKKoquCpda2hfP4u8,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V4,JUP4Fb2cqiRUcaTHdrPC8h2gNsA2ETXiPDD33WcGuJB,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V3,JUP3c2Uh3WA4Ng34tw6kPd2G4C5BB21Xo36Je1s32Ph,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V2,JUP2jxvXaqu7NQY1GmNF4m1vodw12LVXYxbFL2uJvfo,https://twitter.com/JupiterExchange,
DeFi,DEX,DEX Aggregator,,Jupiter,Jupiter V1,JUP6i4ozu5ydDCnLiMogSckDPpbtr7BJ4FtzYWkb5Rk,https://twitter.com/JupiterExchange,
DeFi,Derivatives,Perpetual,,Jupiter,Jupiter Perpetual,PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu,https://twitter.com/JupiterExchange,
DeFi,Airdrop,,,Jupiter,Jupiter Wen Airdrop,meRjbQXFNf5En86FXT2YPz1dQzLj4Yb3xK8u1MVgqpb,https://twitter.com/JupiterExchange,
DeFi,Derivatives,Perpetual,,PopFi,PopFi,AfjPnJz75bJiMKYeManVmPVQEGNcSaj9KeF6c5tncQEa,https://twitter.com/PopFi_io,
DeFi,DEX,Limit Order,,Jupiter,Jupiter Limit Order,jupoNjAxXgZ4rjzxzPMP4oxduvQsQtZzyknqvzYNrNu,https://twitter.com/JupiterExchange,
DeFi,DEX,,,Jupiter,Jupiter DCA,DCA265Vj8a9CEuX1eb1LWRnDT7uK6q1xMipnNyatn23M,https://twitter.com/JupiterExchange,
DeFi,DEX,AMM,CLMM,Raydium,Raydium CLMM,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,https://twitter.com/RaydiumProtocol,
DeFi,DEX,AMM,,Raydium,Raydium V4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,https://twitter.com/RaydiumProtocol,
DeFi,Staking,Farm Staking,,Raydium,FarmV3,EhhTKczWMGQt46ynNeRX1WfeagwwJd7ufHvCDjRxjo5Q,https://twitter.com/RaydiumProtocol,
DeFi,Staking,Farm Staking,,Raydium,FarmV5,9KEPoZmtHUrBbhWN1v1KWLMkkvwY6WLtAVUCPRtRjP4z,https://twitter.com/RaydiumProtocol,
DeFi,Staking,Farm Staking,,Raydium,FarmV6,FarmqiPv5eAj3j1GMdMCMUGXqPUvmquZtMy86QH6rzhG,https://twitter.com/RaydiumProtocol,
DeFi,DEX,AMM,,Raydium,Raydium AMM Route,routeUGWgWzqBWFcrCfv8tritsqukccJPu3q5GPP3xS,https://twitter.com/RaydiumProtocol,
DeFi,DEX,AMM,,Raydium,Raydium Liquidity Pool,5quBtoiQqxF9Jv6KYKctB59NT3gtJD2Y65kdnB1Uev3h,https://twitter.com/RaydiumProtocol,
DeFi,DEX,CLOB,On Chain,Serum,Serum DEX ALT V1,4ckmDgGdxQoPDLUkDT3vHgSAkzA3QRdNq5ywwY4sUSJn,,
DeFi,DEX,CLOB,On Chain,Serum,Serum DEX V1,BJ3jrUzddfuSrZHXSCxMUUQsjKEyLmuuyZebkcaFp2fg,,
DeFi,DEX,CLOB,On Chain,Serum,Serum DEX V2,EUqojwWA2rd19FZrzeBncJsm38Jm1hEhE3zsmX3bRc2o,,
DeFi,DEX,CLOB,On Chain,Serum,Serum DEX V3,9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,,
DeFi,DEX,,On Chain,Serum,Serum Swap,22Y43yTVxuUkoRKdm9thyRhQ3SdgQS7c7kB6UNCiaczD,,
DeFi,DEX,CLOB,On Chain,OpenBook,OpenBook,srmqPvymJeFKQ4zGQed1GFppgkRHL9kaELCbyksJtPX,https://twitter.com/openbookdex,
DeFi,DEX,CLOB,On Chain,OpenBook,OpenBook V2,opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EohpZb,https://twitter.com/openbookdex,
DeFi,DEX,CLOB,On Chain,OpenBook,OpenBook Twap,TWAPrdhADy2aTKN5iFZtNnkQYXERD9NvKjPFVPMSCNN,https://twitter.com/openbookdex,
DeFi,DEX,AMM,CLMM,Lifinity,Lifinity V1,EewxydAPCCVuNEyrVN68PuSYdQ7wKn27V9Gjeoi8dy3S,https://twitter.com/Lifinity_io,
DeFi,DEX,AMM,CLMM,Lifinity,Lifinity V2,2wT8Yq49kHgDzXuPxZSaeLaH1qbmGXtEyPy64bL7aD3c,https://twitter.com/Lifinity_io,
DeFi,DEX,RAMM,,Aldrin,Aldrin V1,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,https://twitter.com/aldrin_labs,
DeFi,DEX,RAMM,,Aldrin,Aldrin V2,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,https://twitter.com/aldrin_labs,
DeFi,Asset Management,,,Symmetry,Symmetry Swap,2KehYt3KsEQR53jYcxjbQp2d2kCp4AkuQW68atufRwSr,https://twitter.com/symmetry_fi,
DeFi,DEX,AMM,,Stepn,Stepn,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,https://twitter.com/Stepnofficial,
DeFi,DEX,AMM,,Saros Finance,Saros,SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,https://twitter.com/SarosInsights,
DeFi,DEX,AMM,,Saros Finance,Saros Farm,SFarmWM5wLFNEw1q5ofqL7CrwBMwdcqQgK6oQuoBGZ,https://twitter.com/SarosInsights,
DeFi,DEX,AMM,,Bonk,Bonk Swap,BSwp6bEBihVLdqJRKGgzjcGLHkcTuzmSo1TQkHepzH8p,https://twitter.com/Bonkswap_io,
DeFi,DEX,AMM,,FluxBeam,FluxBeam,FLUXubRmkEi2q6K3Y9kBPg9248ggaZVsoSFhtJHSrm1X,https://twitter.com/FluxBeamDEX,
DeFi,DEX,AMM,,Helium Network,Tresury mangement,treaf4wWBBty3fHdyBpo35Mz84M8k3heKXmjmi9vFt5,https://twitter.com/helium,
DePIN,,,,Helium Network,Lazy Distributor,1azyuavdMyvsivtNxPoz6SucD18eDHeXzFCUPq5XU7w,https://twitter.com/helium,
DePIN,,,,Helium Network,Reward Oracle,rorcfdX4h9m9swCKgcypaHJ8NGYVANBpmV9EHn3cYrF,https://twitter.com/helium,
DePIN,,,,Helium Network,Circuit Breaker,circAbx64bbsscPbQzZAUvuXpHqrCe6fLMzc2uKXz9g,https://twitter.com/helium,
DePIN,,,,Helium Network,Data Credits,credMBJhYFzfn7NxBMdU4aUqFggAjgztaCcv2Fo6fPT,https://twitter.com/helium,
DePIN,,,,Helium Network,Entity Manager,hemjuPXBpNvggtaUnN1MwT3wrdhttKEfosTcc2P9Pg8,https://twitter.com/helium,
DePIN,,,,Helium Network,Lazy Txns,1atrmQs3eq1N2FEYWu6tyTXbCjP4uQwExpjtnhXtS8h,https://twitter.com/helium,
DePIN,,,,Helium Network,Voter Stake Registry,hvsrNC3NKbcryqDs2DocYHZ9yPKEVzdSjQG6RVtK1s8,https://twitter.com/helium,
DePIN,,,,Helium Network,Price Oracle,porcSnvH9pvcYPmQ65Y8qcZSRxQBiBBQX7UV5nmBegy,https://twitter.com/helium,
DePIN,,,,Helium Network,Sub Dao,hdaoVTCqhfHHo75XdAMxBKdUqvq1i5bF23sisBqVgGR,https://twitter.com/helium,
DePIN,,,,Helium Network,Mobile Entity Manager,memMa1HG4odAFmUbGWfPwS1WWfK95k99F2YTkGvyxZr,https://twitter.com/helium,
DePIN,,,,Helium Network,Fanout,fanqeMu3fw8R4LwKNbahPtYXJsyLL6NXyfe2BqzhfB6,https://twitter.com/helium,
DeFi,DEX,AMM,LaaS,Penguin Finance,Penguin Swap,PSwapMdSai8tjrEXcxFeQth87xC4rRsa4VA5mhGhXkP,https://twitter.com/png_fi,
DeFi,DEX,AMM,,Cropper Finance,Cropper,CTMAxxk34HjKWxQ3QLZK1HpaLXmBveao3ESePXbiyfzh,https://twitter.com/CropperFinance,
DeFi,DEX,AMM,CLMM,Cykura,Cykura Swap,cysPXAjehMpVKUapzbMCCnpFxUFFryEWEaLgnb9NrR8,https://twitter.com/cykurafi,
DeFi,DEX,AMM,,Saber,Saber Swap,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,https://twitter.com/Saber_HQ,
DeFi,DEX,AMM,,Saber,Saber Mint,UBEBk5idELqykEEaycYtQ7iBVrCg6NmvFSzMpdr22mL,https://twitter.com/Saber_HQ,
DeFi,DEX,CLOB,,Ellipsis Labs,Phoenix,PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,https://twitter.com/ellipsis_labs,
DeFi,DEX,CLOB,,Ellipsis Labs,Phoenix Seat Manager,PSMxQbAoDWDbvd9ezQJgARyq6R9L5kJAasaLDVcZwf1,https://twitter.com/ellipsis_labs,
DeFi,Liquidity,,,Meteora,Meteora Pools,Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,https://twitter.com/MeteoraAG,
DeFi,DEX,AMM,CLMM,Invariant,Invariant Swap,HyaB3W9q6XdA5xwpU4XnSZV94htfmbmqJXZcEbRaJutt,https://twitter.com/invariant_labs,
DeFi,Staking,Liquid Staking,,Marinade Finance,Marinade Finance,MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,https://twitter.com/MarinadeFinance,
DeFi,Staking,Liquid Staking,,Marinade Finance,Marinade Staking,MR2LqxoSbw831bNy68utpu5n4YqBH3AzDmddkgk9LQv,https://twitter.com/MarinadeFinance,
DeFi,Staking,Liquid Staking,,Marinade Finance,Marinade Native Proxy,mnspJQyF1KdDEs5c6YJPocYdY1esBgVQFufM2dY9oDk,https://twitter.com/MarinadeFinance,
DeFi,Staking,,,Sanctum,Stake Pool Program,SP12tWFxD9oJsVWNavTTBZvMbA6gkAmxtVgxdqvyvhY,https://twitter.com/sanctumso,
DeFi,DEX,AMM,CLMM,Crema Finance,Crema,CLMM9tUoggJu2wagPkkqs9eFG4BWhVBZWkP1qv3Sp7tR,https://twitter.com/Crema_Finance,
DeFi,DEX,AMM,,Unstake It,Unstake It,stkitrT1Uoy18Dk1fTrgPw8W6MVzoCfYoAFT4MLsmhq,https://twitter.com/unstakeit,
DeFi,DEX,AMM,,Mercurial Finance,Mercurial Stable Swap,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,https://twitter.com/MeteoraAG,
DeFi,DEX,AMM,,Mercurial Finance,Mercurial Vault,6YRZW57XsrT2DxSNLXHHQd4QmiqBode4d6btASkRqcFo,https://twitter.com/MeteoraAG,
DeFi,DEX,AMM,,Step Finance,Step Finance Swap,SSwpMgqNDsyV7mAgN9ady4bDVu5ySjmmXejXvy2vLt1,https://twitter.com/StepFinance_,
DeFi,DEX,AMM,,Sencha,Sencha,SCHAtsf8mbjyjiv4LkhLKutTf6JnZAbdJKFkXQNMFHZ,https://twitter.com/SenchaDEX,
DeFi,DEX,AMM,,GooseFX,GooseFX V2,GFXsSL5sSaDfNFQUYsHekbWBW1TsFdjDYzACh62tEHxn,https://twitter.com/GooseFX1,
DeFi,DEX,AMM,,GooseFX,GooseFX,7WduLbRfYhTJktjLw5FDEyrqoEv61aTTCuGAetgLjzN5,https://twitter.com/GooseFX1,
DeFi,DEX,,,GooseFX,GooseFX V1,BjpU1ACJY2bFj7aVTiMJLhM7H1ePxwkfDhjyY9dW9dbo,https://twitter.com/GooseFX1,
DeFi,DEX,,,GooseFX,GooseFX Stake rewards,STKRWxT4irmTthSJydggspWmkc3ovYHx62DHLPVv1f1,https://twitter.com/GooseFX1,
DeFi,DEX,AMM,,Saber,Saber Decimal Wrapper,DecZY86MU5Gj7kppfUCEmd4LbXXuyZH1yHaP2NTqdiZB,https://twitter.com/Saber_HQ,
DeFi,DEX,AMM,,Balansol,Balansol Balancer,D3BBjqUdCYuP18fNvvMbPAZ8DpcRi4io2EsYHQawJDag,https://twitter.com/0xbalansol?lang=en,
DeFi,DEX,,,Mango Markets,Mango V3,mv3ekLzLbnVPNxjSKvqBpU3ZeZXPQdEC3bp5MDEBG68,https://twitter.com/mangomarkets,
DeFi,DEX,,,Mango Markets,Mango V4,4MangoMjqJ2firMokCjjGgoK8d4MXcrgL7XJaL3w6fVg,https://twitter.com/mangomarkets,
DeFi,DEX,,,Mango Markets,Mango Boost,zF2vSz6V9g1YHGmfrzsY497NJzbRr84QUrPry4bLQ25,https://twitter.com/mangomarkets,
DeFi,Derivatives,Perpetual,,Drift Protocol,Drift V2,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH,https://twitter.com/DriftProtocol,
DeFi,Derivatives,Perpetual,,Drift Protocol,Drift Vault,vAuLTsyrvSfZRuRB3XgvkPwNGgYSs9YRYymVebLKoxR,https://twitter.com/DriftProtocol,
DeFi,Derivatives,Perpetual,,Flash Trade,Flash Perpetuals,FLASH6Lo6h3iasJKWDs2F8TkW2UKf3s15C8PMGuVfgBn,https://twitter.com/FlashTrade_,
DeFi,Derivatives,Perpetual,,Drift Protocol,Drift Competitions,DraWMeQX9LfzQQSYoeBwHAgM5JcqFkgrX7GbTfjzVMVL,https://twitter.com/DriftProtocol,
DeFi,Derivatives,Perpetual,,Cypher,Cypher,CYPH3o83JX6jY6NkbproSpdmQ5VWJtxjfJ5P8veyYVu3,https://twitter.com/cypher_protocol,
DeFi,Derivatives,Perpetual,,HXRO Network,Parimutuel,GUhB2ohrfqWspztgCrQpAmeVFBWmnWYhPcZuwY52WWRe,https://twitter.com/HxroNetwork,
DeFi,Derivatives,Options,,Zeta Markets,Zeta V1,ZETAxsqBRek56DhiGXrn75yj2NHU3aYUnxvHXpkf3aD,https://twitter.com/ZetaMarkets,
DeFi,Derivatives,Options,,Zeta Markets,Zeta Serum,zDEXqXEG7gAyxb1Kg9mK5fPnUdENCGKzWrM21RMdWRq,https://twitter.com/ZetaMarkets,
